Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
70241,Crash,J.G. Ballard,"Ballard, J.G.",,"=""0312420331""","=""9780312420338""",0,3.60,Picador,Paperback,224,2001,1973,,2024/12/26,to-read,to-read (#752),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2024/12/26,to-read,to-read (#751),to-read,,,,0,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.03,Vintage Books,Paperback,147,1991,1956,,2024/12/26,to-read,to-read (#750),to-read,,,,0,0
18864,The Rum Diary,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0684856476""","=""9780684856476""",0,3.85,Scribner / Simon & Schuster,Paperback,224,1999,1998,,2024/12/26,to-read,to-read (#749),to-read,,,,0,0
52350,The Stepford Wives,Ira Levin,"Levin, Ira",Peter Straub,"=""0060080841""","=""9780060080846""",0,3.88,Perennial,Paperback,144,2002,1972,,2024/12/26,to-read,to-read (#748),to-read,,,,0,0
12898,Death of a Salesman,Arthur Miller,"Miller, Arthur",,"=""0435233076""","=""9780435233075""",0,3.59,Heinemann ed,Hardcover,144,1994,1949,,2024/12/26,to-read,to-read (#747),to-read,,,,0,0
50275,Last Exit to Brooklyn,Hubert Selby Jr.,"Jr., Hubert Selby",Gilbert Sorrentino,"=""0747549923""","=""9780747549925""",0,3.93,Marion Boyars,Paperback,290,2000,1964,,2024/12/26,to-read,to-read (#746),to-read,,,,0,0
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",0,4.25,"Little, Brown and Company",Kindle Edition,449,2013,1938,,2024/12/26,to-read,to-read (#745),to-read,,,,0,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",0,3.84,Dante University Press,Paperback,144,2014,1532,,2024/12/26,to-read,to-read (#744),to-read,,,,0,0
7442,The Electric Kool-Aid Acid Test,Tom Wolfe,"Wolfe, Tom",,"=""0553380648""","=""9780553380644""",0,3.92,Bantam,Paperback,416,1999,1968,,2024/12/26,to-read,to-read (#743),to-read,,,,0,0
67071,Lady Chatterley''s Lover,D.H. Lawrence,"Lawrence, D.H.",,"=""0553110187""","=""9780553110180""",0,3.50,"Bantam Books, Inc.",Paperback,360,1973,1928,,2024/12/26,to-read,to-read (#742),to-read,,,,0,0
206172,The Pit and the Pendulum,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0146000110""","=""9780146000119""",0,4.14,Penguin Books,Paperback,64,1995,1842,,2024/12/26,to-read,to-read (#741),to-read,,,,0,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""0670532576""","=""9780670532575""",0,4.14,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,2024/12/26,to-read,to-read (#740),to-read,,,,0,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.79,Pan Books,Paperback,189,1957,1926,,2024/12/26,to-read,to-read (#739),to-read,,,,0,0
